SongID,TrackName,Artists,Genre,FilePath
399,Mela,Punctual,Pop Dance,..\data\audio_files\processed\399.mp3
400,We Could Have It All,Punctual,Pop Dance,..\data\audio_files\processed\400.mp3
401,You Will See,Quarterhead/SESA,Tech House,..\data\audio_files\processed\401.mp3
402,Champion,Rampa/Sparrow & Barbossa/Keinemusik,Deep Disco House,..\data\audio_files\processed\402.mp3
403,Don't Worry - Axwell Cut,Redfield/Axwell,,..\data\audio_files\processed\403.mp3
404,Get Dirty,Return Of The Jaded/Tommie Sunshine,Canadian Electronic,..\data\audio_files\processed\404.mp3
405,Fourth Impact,Rezz/k?d,Brostep,..\data\audio_files\processed\405.mp3
406,Teleportal,Rezz/Kotek,Brostep,..\data\audio_files\processed\406.mp3
407,Criminals,Rezz/Malaa,Brostep,..\data\audio_files\processed\407.mp3
408,Needle On The Record,Riordan,Tech House,..\data\audio_files\processed\408.mp3
