danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename
0.805,0.785,5,-5.964,0,0.0479,0.00114,0.36,0.0558,0.807,126.026,4,41yTIYKg8i2pvyKdopg5Mm,"['2mV8aJphiSHYJf43DxL7Gt', '1KpCi9BOfviCVhmpI4G2sY']","['nu disco', 'future house', 'indietronica', 'house', 'alternative dance', 'deep groove house', 'neo-synthpop', 'progressive house', 'edm', 'filter house', 'dance rock', 'new rave', 'pop dance', 'electro house']",Words With You - Tchami Remix,"Chromeo, Tchami",Chromeo - Words With You - Tchami Remix.mp3
0.416,0.492,7,-6.585,0,0.0314,0.0265,0.0528,0.0958,0.13,90.023,4,3Nuv1oRQQDDn8ZKCrYSlFJ,['1496XxkytEk26FUJLfpVZr'],"['downtempo bass', 'electra', 'glitch hop']",Microworlds,CloZee,CloZee - Microworlds.mp3
0.488,0.626,11,-7.286,0,0.0373,0.167,0.0765,0.293,0.219,171.992,4,2JGPTeVnAxMiFIk15598Ux,"['1496XxkytEk26FUJLfpVZr', '7ErksWhMMsmGtgT1l1e159', '1bDXdxSg3Ve7V7f3bteIyk']","['electra', 'vapor twitch', 'glitch hop', 'downtempo bass', 'tropical house']",Back To The Top,"CloZee, Britt Lari, Dreamers Delight","CloZee, Britt Lari, Dreamers Delight - Back To The Top.mp3"
0.527,0.586,0,-7.207,1,0.0288,0.165,0.00199,0.16,0.168,134.013,4,43QTqbEuSMnofYrZ1fuNwi,"['1496XxkytEk26FUJLfpVZr', '2zmrsXMHxagFz6vI2cD7r6']","['indie electropop', 'indie poptimism', 'electra', 'alt z', 'glitch hop', 'electropop', 'la pop', 'downtempo bass']",Glow In The Dark,"CloZee, Ella Vos","CloZee, Ella Vos - Glow In The Dark.mp3"
0.789,0.884,0,-7.251,1,0.0454,0.00033,0.904,0.0352,0.628,125.003,4,6UTMWx0tjYLcv0dpWPdKT4,['3FBxzgzGPs9XUfSYZgG1vX'],['bass house'],So Damn Funky,Codes,Codes - So Damn Funky.mp3
0.727,0.985,11,-3.981,1,0.148,0.159,0.504,0.323,0.518,126.021,4,4kTxW7NcrxR9BgUbb8z9Vb,['5kjmyBhzuNqgahbg9m1QTB'],[],jd sports,counsel pop,counsel pop - jd sports.mp3
0.703,0.833,10,-4.509,0,0.0451,0.127,0.00194,0.157,0.187,127.945,4,3TqmTtE8bP2deIzx7ASnus,['2XiiUuK68XNdHaHOAF5hnT'],"['progressive electro house', 'future house', 'dutch house', 'edm', 'pop dance', 'electro house']",Seeing Is Believing,Curbi,Curbi - Seeing Is Believing.mp3
0.333,0.414,7,-9.236,1,0.038,0.0135,0.00286,0.282,0.27,87.186,3,0DvKlrYXQsoJGotGzsqcbA,['76y8Or7IQGZcKZZ4B8ypw0'],"['canadian contemporary r&b', 'indie r&b']",BITTER,DACEY,DACEY - BITTER.mp3
0.932,0.909,0,-2.494,1,0.0838,0.0349,0.282,0.0445,0.21,124.977,4,2eWv6o1PahFyDrNXMJYQdt,['5728TFNG2bx7GzacEAz3yU'],[],Wingz,Damien N-Drix,Damien N-Drix - Wingz.mp3
0.844,0.835,11,-3.637,1,0.0762,0.0679,0.41,0.0836,0.807,126.008,4,12V3KrpY33BLqy6QDZsX0v,"['5728TFNG2bx7GzacEAz3yU', '6sxcddx1xFwv0MblwbXNVq']","['future bounce', 'korean electronic']",Not Available,"Damien N-Drix, jeonghyeon","Damien N-Drix, jeonghyeon - Not Available.mp3"
0.727,0.904,10,-3.408,0,0.064,0.0153,0.55,0.0963,0.372,124.02,4,3M89zvwwb1jtDUDKYNsdiA,"['3HphLd0XiELTvIPYf55dYC', '0U3b0BjITtQHwjwBVtiGcO', '5I6WLC9Auo6aeTRHPQbdOv', '1YjaVTeHBlVRRxbk7H30HN', '5QCGlnijOcNxsXXNzZkcWL']","['lo-fi product', 'lo-fi latino', 'covertronica', 'mexican edm']",Calabria,"Dance Fruits Music, DMNDS, Fallen Roses, Lunis, Shift K3Y, Lujavo","Dance Fruits Music, DMNDS - Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit.mp3"
0.774,0.943,1,-5.507,1,0.228,0.0156,6.86e-05,0.065,0.688,136.036,4,3pbZCLBe6fUZ8dBntDWQ64,"['5JQ1XqKJ2Art01rF4tu1Ra', '5VfSeZYcDwD8WQVwbaoL6z', '0Hh9X3QxTHPE2dlAS1g8IN']","['vapor twitch', 'future bass']",Elysian Park,"Daniel Allan, han.irl <3, Rome in Silver","Daniel Allan, han.irl 3, Rome in Silver - Elysian Park.mp3"
0.77,0.51,10,-7.17,0,0.38,0.171,0.000637,0.0995,0.359,108.995,4,0cBF49sKb9Pr0IfKUzBLmk,"['5vfEaoOBcK0Lzr07WN8KaK', '2clS9uX2uOrHHqkyDMkzA1']","['nu disco', 'alternative r&b', 'chill r&b', 'indie soul', 'filter house']",FADED,"Darius, Amaria","Darius, Amaria - FADED.mp3"
0.823,0.499,11,-6.658,0,0.0575,0.0304,0.502,0.0931,0.44,117.009,4,2bmN1B9HIZTGdaFqMYrgOR,"['5vfEaoOBcK0Lzr07WN8KaK', '01qiJfvXOvrFjFcwwmZ6yc']","['nu disco', 'filter house', 'indie soul']",CHERIE,"Darius, Darianna Everett","Darius, Darianna Everett - CHERIE.mp3"
0.744,0.736,5,-4.269,0,0.156,0.0132,0.145,0.06,0.559,113.982,4,7IRyfeJIBmi08GYgEZwWMM,"['5vfEaoOBcK0Lzr07WN8KaK', '6MfKvHA64hLnQEJ9E5M7FT']","['indie r&b', 'nu disco', 'indie soul', 'filter house', 'neo r&b']",EASE YOUR MIND,"Darius, Devin Tracy","Darius, Devin Tracy - EASE YOUR MIND.mp3"
0.792,0.619,6,-6.718,0,0.0516,0.201,0.0108,0.0979,0.386,123.049,4,5s07MbAYauHkLEyPhH3NOw,"['5vfEaoOBcK0Lzr07WN8KaK', '7bupzBUhDSqBIAkoianGjC']","['nu disco', 'filter house', 'indie soul']",FEELS RIGHT,"Darius, Duñe","Darius, Duñe - FEELS RIGHT.mp3"
0.876,0.522,2,-6.007,1,0.128,0.0421,0.0259,0.121,0.311,111.014,4,5B2mFGqshYv3fiJinfLtcW,"['5vfEaoOBcK0Lzr07WN8KaK', '7h01MzzV4zMo39ocJpJiCi']","['nu disco', 'indie hip hop', 'filter house', 'indie soul']",MATERIAL GIRL,"Darius, Lo Village","Darius, Lo Village - MATERIAL GIRL.mp3"
0.758,0.847,2,-7.394,0,0.0687,0.149,0.906,0.203,0.227,128.086,3,30JVP4BB4KlPaQgiLsMdV8,"['2CIMQHirSU0MQqyYHq0eOx', '1N9n8MSxrr4Emhb566493b']","['canadian electronic', 'progressive house', 'edm', 'complextro', 'pop dance', 'electro house']",imaginary friends (ov) - Morgan Page Remix,"deadmau5, Morgan Page",deadmau5 - imaginary friends (ov) - Morgan Page Remix.mp3
0.768,0.861,1,-7.145,1,0.124,0.0039,0.00302,0.276,0.543,126.009,4,5X2OBrVs8TJMlZYB8EDqad,"['1qVHDR3icC0cD02ofnzEA1', '4Nl6PVYLwbCFfr3UqQlFtE']","['tech house', 'brazilian edm', 'russian edm', 'bass house']",Heart Isn't Home - Volac Remix,"Denis First, VOLAC",Denis First - Heart Isn't Home - Volac Remix.mp3
0.83,0.571,9,-5.935,1,0.259,0.00249,0.0,0.106,0.169,121.834,4,6tbhJje9chpqpYTXPq4TUh,"['0BEYTctVmnYa5yStp4Jpab', '6Ha4aES39QiVjR0L2lwuwq', '6fxyWrfmjcbj5d12gXeiNV', '1gPhS1zisyXr5dHTYZyiMe']","['dirty south rap', 'southern hip hop', 'tennessee hip hop', 'miami hip hop', 'hip hop', 'underground hip hop', 'bass house', 'rap', 'memphis hip hop', 'baton rouge rap', 'trap', 'pop rap', 'dark trap', 'drill', 'gangster rap', 'electro house']",Bandz,"Destructo, Yo Gotti, Denzel Curry, Kevin Gates, Loge21","Destructo - Bandz (feat. Yo Gotti, Kevin Gates & Denzel Curry) - Loge21 Remix.mp3"
